timestamp,step,portfolio_value,buyhold_value,cash_balance,positions_value,unrealized_pnl,total_trades,winning_trades,losing_trades
2026-02-07T16:15:01.092262,4402,10058.80739620938,9224.654203462555,728.0313390644933,9330.776057144887,58.807396209380386,1503,76,176
2026-02-07T16:16:14.053943,4403,10081.539965208212,9242.246621654542,728.0313390644933,9353.508626143719,81.53996520821238,1503,76,176
2026-02-07T16:17:26.145953,4404,10102.183030277123,9254.334852484535,728.0313390644933,9374.15169121263,102.18303027712318,1503,76,176
2026-02-07T16:18:38.519699,4405,10057.474786176856,9218.951240405182,728.0313390644933,9329.443447112362,57.47478617685556,1503,76,176
2026-02-07T16:19:51.692595,4406,10005.385108909666,9192.549506972991,728.0313390644933,9277.353769845173,5.385108909666087,1503,76,176
2026-02-07T16:21:04.158912,4407,10012.43910710853,9205.857414003369,728.0313390644933,9284.407768044037,12.439107108530152,1503,76,176
2026-02-07T16:22:16.542338,4408,10046.736714684275,9228.957899331022,728.0313390644933,9318.705375619782,46.736714684275285,1503,76,176
2026-02-07T16:23:29.919871,4409,10030.704451255377,9214.80661478579,728.0313390644933,9302.673112190883,30.704451255376625,1503,76,176
2026-02-07T16:24:42.772923,4410,10043.483100947835,9225.545290843538,728.0313390644933,9315.451761883342,43.48310094783483,1503,76,176
2026-02-07T16:26:00.558353,4411,10045.096937023916,9222.41914855042,693.4783193964126,9351.618617627504,45.096937023916325,1506,76,176
2026-02-07T16:27:13.165221,4412,10048.348845823939,9224.246026650726,693.4783193964126,9354.870526427527,48.34884582393897,1506,76,176
2026-02-07T16:28:25.964699,4413,10031.967144300545,9213.80697900311,693.4783193964126,9338.488824904132,31.967144300544533,1506,76,176
2026-02-07T16:29:39.936244,4414,10034.973137713045,9216.124502446468,692.0913627576198,9342.881774955425,34.97313771304471,1507,76,176
2026-02-07T16:30:55.055934,4415,10036.88418897786,9219.410914861439,618.6610733377271,9418.223115640132,36.884188977859594,1513,76,176
2026-02-07T16:32:08.377391,4416,10044.082232240382,9220.957034418103,507.4039289867539,9536.678303253628,44.08223224038193,1519,76,176
2026-02-07T16:33:21.951677,4417,10049.431006555787,9228.052686950527,453.5688150650439,9595.862191490743,49.43100655578746,1525,76,176
2026-02-07T16:34:34.809247,4418,10038.518479618708,9217.084127794844,437.93387709789147,9600.584602520816,38.518479618707715,1528,76,176
2026-02-07T16:35:47.677779,4419,10034.824103709398,9214.65479899086,423.68526047263447,9611.138843236764,34.824103709397605,1530,76,176
2026-02-07T16:37:01.592986,4420,10029.684305033095,9203.475922344882,360.95275937331587,9668.731545659779,29.68430503309537,1535,76,176
